surah_number,ayah_number,tafsir_text
55,1,"يقول الحق جلّ جلاله : { الرحمنُ علَّمَ القرآنَ } عدّد في هذه الصورة الكريمة ما أفاض على كافة الأنام من فنون نِعمه الدينية والدنيوية ،  الأنفسية والآفاقية ،  وأنكر عليهم إثر كل منها إخلالهم بموجب شكرها ،  وبدأ بتعليم القرآن ؛ لأنه أعظمها شأناً ،  وأرفعها مكاناً ،  كيف لا وهو مدار السعادة الدينية والدنيوية ؟ وإسناد تعليم القرآن إلى اسم  "" الرَّحْمَان ""  للإيذان بأنه من آثار الرحمة الواسعة وأحكامها .

/خ13"
55,2,/ت1
55,3,"ثم ثنَّى بنعمة الإيمان ،  فقال : { خَلَقَ الإِنسانَ } أي : جنس الإنسان ،  أو آدم ،  أو محمد صلى الله عليه وسلم ،  والمراد بخلقه : إنشاؤه على ما هو عليه من القُوى الظاهرة والباطنة .

/خ13"
55,4,"{ علَّمه البيانَ } وهو المنطق الفصيح ،  المُعْرِب عما في الضمير ،  وليس المراد بتعليمه : تمكينه من بيان ما في نفسه ،  بل منه ومِن فهم بيان غيره ،  إذ هو الذي يدور عليه التعليم .   وأَخَّر ذِكر خلق الإنسان عن تعليم القرآن ؛ ليعلم إنما خلقه للدين ،  وليُحيط علماً بوحي الله وكُتبه ،  ثم ذكر ما تميز به من سائر الحيوان ،  وهو البيان والإفصاح عما في الضمير .   والجمل الثلاث أخبار مترادفة للرحمان ،  وإخلاء الأخيرتين عن العاطف لمجيئها على نمط التعديد ،  كما تقول : زيد أغناك بعد فقر ،  أعزّك بعد ذلك ،  كثَّرك بعد قِلَّة ،  فعل بك ما لم يفعل أحدٌ بأحدٍ ،  فما تُنكر من إحسانه ؟ .

/خ13"
55,5,"ثم ذكر النِعَم الآفاقية ،  فقال : { الشمسُ والقمرُ بحُسْبَانٍ } أي : يجريان بحساب معلوم ،  وتقدير سويِّ ،  في بُروجهما ومنازلهما ،  بحيث ينتظم بذلك أمور الكائنات السفلية ،  وتختلف الفصول والأوقات ،  ويُعلم منها عدد السنين والحساب ،  ولو كان الدهر كله نهاراً أو ليلاً لبطلت هذه الحكمة ،  ولم يَدْر أحدٌ كيف يحسب شيئاً ،  ولاختلّ نظام العالم بالكلية ،  وقال مجاهد : ( بحُسْبان ) كحسبان الرحا ،  يدوران في مثل قطب الرحا ،  وهو مُؤيِّدٌ لأهل التنجيم .   قال بعضهم : إنَّ الشمس قدر الدنيا مائة وعشرون مرة ،  لأجل ذلك أن الإنسان يجدها قبالته حيث صار .   وقال في شرح الوغليسية : إنَّ الشمس قدر الدنيا بمائة ونيف وستين مرة ،  والقمر قدر الدنيا ثمان مرات ،  ويُحيط بهما بصر أقل من حبة السمسم ،  الله أكبر وأعز وأعلا .   ه .   ويقال : مكتوب في وجه الشمس :  "" لا إله إلا الله محمد رسول الله ،  خلق الشمس بقدرته ،  وأجراها بأمره ""  وفي وجه القمر مكتوب :  "" لا إله إلا الله ،  محمد رسول الله ،  خالق الخير والشر بقدرته ،  يبتلي بهما مَن يشاء مِن خلقه ،  فطُوبى لمَن أجرى اللّهُ الخير على يديه ،  والويل لمَن أجرى اللّهُ الشر على يديه ""  .

/خ13"
55,6,"{ والنجمُ والشجرُ يسجدان } النجم : النبات الذي ينجم ،  أي : يطلع من الأرض ولا ساق له ،  كالبقول ،  والشجر : الذي له ساق .   وقيل : { النجم } : نجوم السماء وسجودهما : انقيادهما لما يُراد منهما ،  شُبّها بالساجدين من المكلّفين في انقيادهما ،  واتصلت هاتان الجملتان بالرحمان بالوصل المعنويّ ،  لِما علم أنَّ الحُسبان حسبانه ،  والسجود له لا لغيره ،  كأنه قيل : الشمس والقمر بحسبانه والنجم والشجر يسجدان له ،  ولم يذكر العاطف في الجُمل الأُولِ وجِيء به بعدُ ؛ لأنّ الأُولَ وردت على سبيل التعديد كما تقدّم ،  ثم ردَّ الكلام إلى منهاجه في وصل ما يجب وصله ؛ للتناسب والتقارب بالعطف وبيان والتناسب : أنَّ الشمس والقمر سماويان ،  والنجم والشجر أرضيان ،  فعطف أحد المتقابلين على الآخر ،  وأيضاً : حُسبان الشمس والقمر نوع من الانقياد لأمر الله ،  فهو مناسب لسجود النجم والشجر .

/خ13"
55,7,"ثم قال تعالى : { والسماءَ رفَعها } أي : خَلَقها مسموكةً مرفوعةً ،  حيث جعلها منشأ أحكامه ،  ومسكن ملائكته الذي يهبطون بالوحي على أنبيائه ،  ونبّه بذلك على كبرياء شأنه ،  ومُلكه وسلطانه ،  { وَوَضَعَ الميزانَ } أي : كل ما يُوزن به الأشياء ويعرف مقاديرها ،  من ميزان ،  وقَرَسْطون ،  ومكيال ،  ومعيار ،  والقرسطون - بفتحتين : العدلة التي توزن بها الفضة ،  أي : خَلَقه موضعاً على الأرض من حيث علّق به أحكام العباد على التسوية والتعديل في أخذهم وإعطائهم .   وقيل : معنى الميزان ،  العدل ،  أي : شرع العدل وأمر به حتى يوفّى كل ذي حق حقه ،  حتى انتظم أمر العالم واستقام ،  كما قال صلى الله عليه وسلم :  "" بالعدل قامت السماوات والأرض ""  ،  والعدل : ما حكمت به الشريعةُ المحمدية ،  من كتاب ،  وسُنة ،  وإجماع ،  وقياس .

/خ13"
55,8,"وأمر بذلك { ألاَّ تَطْغَوْا في الميزانِ } أي : لئلا تجوروا في الميزان بعد الإنصاف في حقوق العباد ،  ف  "" أن ""  ناصبة ،  أو مُفَسِّرة ،  أو ناهية .

/خ13"
55,9,"{ وأَقيموا الوزنَ بالقِسْطِ } وأقيموا أوزانكم بالعدل { ولا تُخْسِرُوا الميزانَ } ولا تنقصوه بالتطفيف ،  نهى عن الطغيان ،  الذي هو اعتداء وزيادة ،  وعن الخسران ،  الذي هو تطفيف ونقصان ،  وكرّر لفظ  "" الميزان ""  تشديداً للوصية ،  وتقويةً للأمر باستعماله الحثّ عليه .

/خ13"
55,10,"ولمّا ذكر نعمة الإمداد المعنوي ،  وهو مدد الأرواح ،  ذكر مددَ الأشباح ،  فقال : { والأرضَ وضعها } خفضها مدحوّة على الماء { للأنام } للخلق ،  وهو ما على وجه الأرض من دابة .   وعن الحسن : الجن والإنس ،  فهي كالمهاد ،  يتصرفون فوقها .

/خ13"
55,11,"{ فيها فاكهةٌ } ضروب مما يُتفكّه به ،  { والنخلُ ذاتُ الأكمام } وهي أوعية الثمر ،  واحدها : كِمٌّ ،  بكسر الكاف ،  أو : كلّ ما يَكُم ،  أي : يُغطّى ،  من ليفه وسعفه وكُفُرَّاه ،  والكُفرّ : وعاء الطَّلْعِ ،  وكله مُنتفع به ،  كما يُنتفع بالمكموم من ثمره وجُمّاره وجذوعه .

/خ13"
55,12,"{ والحبُّ ذو العَصْفِ } هو ورق الزرع ،  أو التبن ،  { والريحانُ } أي : الرزق وهو اللبّ ،  أي : فيها ما يتلذذ به ،  والجامع بين التلذُّذ والتغذّي ،  وهو تمر النخل ،  وما يتغذّى به فقط ،  وهو الحب المشتمل على علف الدواب ورزق العباد .   وقرأ الأخَوان : ( والريحانِ ) بالجر ،  عطفاً على  "" العصف ""  والباقون بالرفع عطفاً على  "" الحب ""  على حذف مضاف ،  أي : وذو الريحان ،  فحذف المضاف وأُقيم المضاف إليه مقامه .   وقيل : معناه : وفيه الريحان الذي يُشم .   وقرأ الشامي بنصب الجميع ،  أي : خلق الحب والريحان .

/خ13"
55,13,"{ فَبأيّ آلاءِ رِّبكما } أي : نِعَمَه التي عَدَّدها من أول السورة ،  { تُكَذِّبان } والخطاب للثقلين المدلول عليهما بقوله تعالى : { للأنام } وينطق به قوله : { أيه الثقلان } والفاء لترتيب الإنكار والتوبيخ على ما فصّل من فنون النعماء ،  وصنوف الآلاء ،  الموجبة للإيمان والشكر ،  والتعرُّض لعنوان الربوبية المنبئة عن المالكية والتربية ،  مع الإضافة إلى ضميرهم لتأكيد النكير وتشديد التوبيخ .   ومعنى تكذيبهم آلائه تعالى : كفرهم بها ،  وإمّا بإنكار كونه نعمة في نفسه ،  كتعليم القرآن وما يستند إليه من النعم الدينية ،  وإمّا بإنكاره كونه من الله تعالى مع الاعتراف بكونه نعمة في نفسه ،  كالنعم الدنيوية الواصلة إليهم بإسناده إلى غيره تعالى ،  اشتراكاً أو استقلالاً ،  صريحاً أو دلالة ،  فإنَّ إشراكهم لآلهتهم معه تعالى في العبادة من دواعي إشراكهم لها به تعالى .   انظر أبا السعود .   أي : إذا كان الأمر كما فصّل فبأيّ فرد من أفارد نعمه تعالى تُكذِّبان ،  مع أنّ كُلاًّ منها ناطق بالحق ،  شاهد بالصدق ؟ والله تعالى أعلم .

/خ13"
55,14,"ثم ذكر أول نشأة الثقلين ،  فقال :

{ خَلَقَ الإِنسَانَ مِن صَلْصَالٍ كَالْفَخَّارِ }*{ وَخَلَقَ الْجَانَّ مِن مَّارِجٍ مِّن نَّارٍ }*{ فَبِأَيِّ آلاءِ رَبِّكُمَا تُكَذِّبَانِ }*{ رَبُّ الْمَشْرِقَيْنِ وَرَبُّ الْمَغْرِبَيْنِ }*{ فَبِأَيِّ آلاءِ رَبِّكُمَا تُكَذِّبَانِ }*{ مَرَجَ الْبَحْرَيْنِ يَلْتَقِيَانِ }*{ بَيْنَهُمَا بَرْزَخٌ لاَّ يَبْغِيَانِ }*{ فَبِأَيِّ آلاءِ رَبِّكُمَا تُكَذِّبَانِ }*{ يَخْرُجُ مِنْهُمَا الُّلؤْلُؤُ وَالمَرْجَانُ }*{ فَبِأَيِّ آلاَءِ رَبِّكُمَا تُكَذِّبَانِ }*{ وَلَهُ الْجَوَارِ الْمُنشَئَاتُ فِي الْبَحْرِ كَالأَعْلاَمِ }*{ فَبِأَيِّ آلاءِ رَبِّكُمَا تُكَذِّبَانِ }*{ كُلُّ مَنْ عَلَيْهَا فَانٍ }*{ وَيَبْقَى وَجْهُ رَبِّكَ ذُو الْجَلاَلِ وَالإِكْرَامِ }*{ فَبِأَيِّ آلاءِ رَبِّكُمَا تُكَذِّبَانِ } .

يقول الحق جلّ جلاله : { خَلَقَ الإِنسانَ } آدم { من صلصالٍ } من طين يابس ،  له صلصلة ،  أي : صوت { كالفَخَّار } كالطين المطبوخ بالنار وهو الخزف .   ولا تخالف بين هذا وبين قوله : { مِّنْ حَمإٍ مَّسْنُونٍ } [ الحجر : 26 ] و{ مِّن طِينٍ لاَّزِب } [ الصافات : 11 ] لاتفاقهما معنىً ،  لأنَّ المعنى : أنَّ أصل خلقه من تراب ،  ثم جعله طيناً ،  ثم حمأً مسنوناً ،  ثم صلصالاً .

/خ28"
55,15,"{ وخَلَقَ الجانَّ } أي : الجن ،  أو أبا الجن إبليس ،  { من مَارجٍ من نار } والمارج هو اللهب الصافي ،  الذي لا دخان فيه ،  وقيل : المختلط بسواد النار ،  من : مَرجَ الشيء : إذا اضطرب أو اختلط ،  و "" مِن ""  : بيانية ،  كأنه قيل : مِن صاف النار ،  أو مختلط من النار ،  أو أراد : من نار مخصوصة .

/خ28"
55,16,"{ فبأي آلاءِ ربكما تُكَذِّبان } مما أفاض عليكما في تضاعيف خلقكما من سوابغ النعم .   قال القشيري : وكرّر سبحانه هذه الآية في غير موضع ،  على جهة التقرير بالنعمة على التفاصيل .   نعمة بعد نعمة ،  ووجه النعمة في خلق آدم من طين : أنه رقّاه إلى رتبةٍ بعد أن خلقه من طين ،  وكذلك القول في { مارج من نار } .   ه .   يعني : أنَّ آدم رقّاه إلى رتبة الروحانية والخلافة ،  والجن إلى رتبة التصرُّف الباطني في الآدمي وغيره .

/خ28"
55,17,"{ ربُّ المشْرِقَين وربُّ المغربين } أي : مشرقي الشمس في الصيف والشتاء ،  ومَغْربيها .   قال ابن الحشا : المشرق الشتوي : هو النقطة التي تطلع فيها الشمس فيها في الأفق في نصف دجنبر ،  أقصر ما يكون النهار من أيام السنة ،  والمشرق الصيفي : هو النقطة التي تطلع فيها الشمس في نصف يونية ،  أطول ما يكون من أيام السنة .   والمغربان : حيث تغرب في هذين اليومين ،  ومشارق الشمس ومغاربها في سائر أيام السنة ليس هذين المشرقين والمغربين .   ه .   وقوله : في نصف دجنبر ونصف يونية ،  هذا في زمانه ،  وأمّا اليوم فهي على ثمانية أيام ونحوها ،  لزيادة حركة الإقبال .   قال ابن عطية : متى وقع ذكر المشرق والمغرب فهو إشارة إلى الناحيتين ،  أي : مشرق الصيف والشتاء ومغربهما .   ومتى وقع ذكر المشارق والمغارب فهو إشارة إلى تفصيل مشرق كل يوم ومغربه ،  ومتى ذكر المشرقان فهو إشارة إلى نهايتي المشارق والمغارب ؛ لأنّ ذكر نهايتي الشيء ذكر لجميعه .   ه .

/خ28"
55,18,"{ فبأي آلاء ربكما تُكَذِّبان } قال القشيري : ووجه النعمة في مشرق الشمس ومغربها : جريانه على ترتيب بديع ؛ ليكمل انتفاع الخلق بذلك .   ه .

/خ28"
